Date,Type,Description,Amount,Balance,Tags
12 Apr 24,Debit,UPI/DR/HOTEL JA,10.0,36942.49,entertainment_dining_out
12 Apr 24,Debit,UPI/DR/RTHANGAM,10.0,36932.49,miscellaneous_expense
12 Apr 24,Credit,REVERSAL FOR JOURNAL,10.0,36942.49,refund_reversal
12 Apr 24,Debit,UPI/DR/GAJASHIC,12060.0,24882.49,miscellaneous_expense
12 Apr 24,Credit,IMPS/GOOGLEINDI,1355.0,26237.49,other_income
13 Apr 24,Credit,IMPS/GOOGLEINDI,2165.0,28402.49,other_income
14 Apr 24,Debit,UPI/DR/ROSHAN T,16404.0,11998.49,miscellaneous_expense
14 Apr 24,Debit,UPI/DR/NAVEENKU,1600.0,10398.49,miscellaneous_expense
15 Apr 24,Credit,IMPS/GOOGLEINDI,3530.0,13928.49,other_income
16 Apr 24,Credit,IMPS/GOOGLEINDI,2325.0,16253.49,other_income
16 Apr 24,Credit,NEFT/BUNDL TECHNOLOGI,15000.44,31253.93,business_income
16 Apr 24,Debit,UPI/DR/MUHAMMED,1240.0,30013.93,miscellaneous_expense
17 Apr 24,Credit,IMPS/GOOGLEINDI,1400.0,31413.93,other_income
17 Apr 24,Credit,NEFT/ZOMATO LIMITED,21953.19,53367.12,business_income
18 Apr 24,Credit,IMPS/GOOGLEINDI,1735.0,55102.12,other_income
18 Apr 24,Credit,NEFT/BUNDL TECHNOLOGI,9510.85,64612.97,business_income
18 Apr 24,Debit,UPI/DR/PARTHIPA,1.0,64611.97,miscellaneous_expense
19 Apr 24,Credit,IMPS/GOOGLEINDI,1550.0,66161.97,other_income
19 Apr 24,Debit,ATM WDL,20000.0,46161.97,cash_withdrawal
19 Apr 24,Debit,ATM WDL,20000.0,26161.97,cash_withdrawal
19 Apr 24,Debit,ATM WDL,20000.0,6161.97,cash_withdrawal
20 Apr 24,Credit,IMPS/GOOGLEINDI,1820.0,7981.97,other_income
21 Apr 24,Credit,IMPS/GOOGLEINDI,1830.0,9811.97,other_income
21 Apr 24,Debit,MONTHLY MAINTENANCE CHARGES,590.0,9221.97,fees_charges
21 Apr 24,Credit,IMPS/GOOGLEINDI,2880.0,12101.97,other_income
22 Apr 24,Debit,UPI/DR/WWWSEKAR,8500.0,3601.97,miscellaneous_expense
22 Apr 24,Credit,IMPS/HOTEL JAIH,50000.0,53601.97,other_income
22 Apr 24,Debit,ATM WDL,20000.0,33601.97,cash_withdrawal
22 Apr 24,Debit,ATM WDL,20000.0,13601.97,cash_withdrawal
22 Apr 24,Debit,ATM WDL,10000.0,3601.97,cash_withdrawal
22 Apr 24,Debit,UPI/DR/APOLLO P,502.26,3099.71,healthcare_pharmacy
22 Apr 24,Credit,IMPS/GOOGLEINDI,1920.0,5019.71,other_income
23 Apr 24,Credit,NEFT/BUNDL TECHNOLOGI,8222.61,13242.32,business_income
24 Apr 24,Credit,IMPS/GOOGLEINDI,2820.0,16062.32,other_income
24 Apr 24,Credit,NEFT/ZOMATO LIMITED,23419.06,39481.38,business_income
24 Apr 24,Credit,IMPS/GOOGLEINDI,2160.0,41641.38,other_income
25 Apr 24,Credit,NEFT/BUNDL TECHNOLOGI,3714.07,45355.45,business_income
26 Apr 24,Credit,IMPS/GOOGLEINDI,1810.0,47165.45,other_income
26 Apr 24,Credit,IMPS/GOOGLEINDI,1650.0,48815.45,other_income
27 Apr 24,Credit,IMPS/GOOGLEINDI,1495.0,50310.45,other_income
28 Apr 24,Debit,SMS CHARGES,33.0,50277.45,fees_charges
28 Apr 24,Credit,IMPS/GOOGLEINDI,1865.0,52142.45,other_income
29 Apr 24,Credit,IMPS/GOOGLEINDI,2345.0,54487.45,other_income
30 Apr 24,Debit,ATM WDL,20000.0,34487.45,cash_withdrawal
30 Apr 24,Debit,ATM WDL,20000.0,14487.45,cash_withdrawal
30 Apr 24,Debit,ATM WDL,10000.0,4487.45,cash_withdrawal
30 Apr 24,Credit,NEFT/BUNDL TECHNOLOGI,10612.81,15100.26,business_income
30 Apr 24,Credit,IMPS/GOOGLEINDI,3040.0,18140.26,other_income
01 May 24,Credit,NEFT/ZOMATO LIMITED,20439.16,38579.42,business_income
02 May 24,Credit,IMPS/GOOGLEINDI,2203.0,40782.42,other_income
02 May 24,Debit,UPI/DR/R THANGA,20000.0,20782.42,miscellaneous_expense
02 May 24,Credit,IMPS/GOOGLEINDI,2325.0,23107.42,other_income
04 May 24,Credit,IMPS/GOOGLEINDI,2775.0,25882.42,other_income
